# 🤖 fixed source-selection ledger at 2026-07-26 PDT
id	decision	family	work	status_at_cutoff	primary_source	reason	uncertainty
time_horizons	include	long-horizon evaluation	Measuring AI Ability to Complete Long Software Tasks	NeurIPS 2025 accepted	https://neurips.cc/virtual/2025/poster/119302	cross-model task-duration scaling with human task times	task suite is software-heavy and the 50% horizon is a fitted construct
tau_bench	include	planning and tool use	tau-bench	ICLR 2025 accepted	https://openreview.net/forum?id=roNSXZpUDN	stateful user-agent-tool interaction and consistency metric	retail and airline domains only
ultrahorizon	include	long-horizon planning	UltraHorizon	ICML 2026 regular	https://openreview.net/forum?id=qRNtMWrTvo	ultra-long simulated tasks expose compounding failures	accepted ICML version coexists with rejected ICLR submission
agentcompany	include	workplace agents	TheAgentCompany	NeurIPS 2025 datasets and benchmarks poster	https://openreview.net/forum?id=LZnKNApvhG	consequential multi-app workplace tasks	organization simulation is not a live firm
swe_agent	include	software engineering	SWE-agent	NeurIPS 2024 accepted	https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b1328ccc5230172e1e7c-Abstract-Conference.html	landmark agent-computer interface result	older anchor and original SWE-bench limitations apply
swe_bench_pro	include	software engineering	SWE-Bench Pro	ICML 2026 regular	https://openreview.net/forum?id=uEVTdoAbnK	long-horizon multi-file professional repositories	accepted ICML version coexists with rejected ICLR submission
swe_lancer	include	software engineering economics	SWE-Lancer	ICML 2025 accepted	https://proceedings.mlr.press/v267/miserendino25a.html	real freelance tasks with dollar values and failure evidence	one marketplace and historical model snapshot
utboost	include	evaluation reliability	UTBoost	ACL 2025 main	https://aclanthology.org/2025.acl-long.189/	test inadequacy and patch-validity audit of coding-agent claims	focuses SWE-bench and generated tests
osworld	include	computer use	OSWorld	NeurIPS 2024 datasets and benchmarks	https://proceedings.neurips.cc/paper_files/paper/2024/hash/5d413e48f84dc61244b6be550f1cd8f5-Abstract-Datasets_and_Benchmarks_Track.html	cross-application real-computer benchmark	older systems and a controlled VM setting
workarena	include	web and enterprise work	WorkArena	ICML 2024 accepted	https://proceedings.mlr.press/v235/drouin24a.html	common knowledge-work tasks in ServiceNow	one enterprise platform and older anchor
webrl	include	learning and adaptation	WebRL	ICLR 2025 accepted	https://openreview.net/forum?id=oVKEAFjEqv	self-evolving curriculum for open web agents	training gains may not transfer across websites or model families
browsecomp	include	browsing research	BrowseComp	OpenAI first-party report and arXiv preprint 2025	https://openai.com/index/browsecomp/	frontier difficult browsing benchmark that shaped current evidence	unreviewed first-party report with potential benchmark exposure
paperbench	include	research agents	PaperBench	ICML 2025 accepted	https://proceedings.mlr.press/v267/starace25a.html	end-to-end replication scored by paper-specific rubrics	only 20 papers and expensive expert grading
rebench	include	research agents	RE-Bench	ICML 2025 accepted	https://proceedings.mlr.press/v267/wijk25a.html	time-budgeted comparison against human experts	seven environments and non-comparable model scaffolds
scienceagentbench	include	scientific agents	ScienceAgentBench	ICLR 2025 accepted	https://openreview.net/forum?id=6z4YKr0GK6	task-level data-driven discovery evaluation	science workflow coverage is selective
mle_bench	include	scientific and ML engineering	MLE-bench	ICLR 2025 oral	https://iclr.cc/virtual/2025/oral/31914	75 real Kaggle competitions with contamination analysis	competition medals are a proxy for research ability
memoryagentbench	include	memory and adaptation	MemoryAgentBench	ICLR 2026 accepted	https://openreview.net/forum?id=DT7JyQC3MR	incremental multi-turn memory taxonomy and controlled evaluation	new benchmark with limited independent replication
multiagentbench	include	multi-agent coordination	MultiAgentBench	ACL 2025 main	https://aclanthology.org/2025.acl-long.421/	collaboration and competition with coordination metrics	simulated protocols may not predict open-world teams
